path,label,features_json
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/314_100.jpg,Pineapple Mini,"[-5.852337251299282, 4.03008236720691, 0.9545311762177764, -4.2200014675246065, -2.7367897164094157, 3.0054250718112017, 1.6074102339290717, -0.9354908230802478, -9.200777061756886, 5.7051276479124455, -3.760338085060981, 2.5472671250552543, 0.7545166000190954, -5.5856700049610035, -3.3782517083755192]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple Mini/62_100.jpg,Pineapple Mini,"[-5.284048348334822, 3.2489444615038323, 1.6393611415681903, -3.734862109942385, -2.3522251996337795, 2.7763943956315336, 2.254164411762875, -0.9119842600116401, -8.767571381788523, 3.7651554746040974, -2.281453089553618, 2.2064175468148393, -0.008327768283083814, -4.311775297651437, -2.9107946703437024]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Watermelon/256_100.jpg,Watermelon,"[-3.0053117980571797, 3.9083987187796176, -5.930120762758158, -5.678440710929359, 3.8581640185244446, 5.95227327442635, -3.283336089657799, 4.729364348176561, -8.593833139015656, 3.4876823815741402, -4.489909628221511, -1.4976414759517482, -1.730480720555971, 4.318731020369565, 3.6425603970023834]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r2_208_100.jpg,Cauliflower,"[-3.9282400666625046, 2.4467987971398877, 0.04178046351532792, -2.676538311840241, -3.952725326138962, 3.5678156566586003, -0.6602074760078176, 2.9410974274128714, -1.6890782327563558, 2.711367935253113, -4.888509699810368, 1.9809287298003755, 2.6244034820245425, -2.4291703153540385, 0.3612250965726427]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/204_100.jpg,Raspberry,"[-0.6647233192110952, 3.0862376138258774, 1.0676596518590307, -9.898197194922654, -3.668614985872009, 1.4170171136001941, -1.714282421050302, 3.2191068275216326, -5.509547226695432, 4.5571299995907495, -6.992045105013059, -3.1653443657335134, -0.4282754588885037, 6.022787625232803, -2.9361003186777817]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/r_246_100.jpg,Cauliflower,"[-5.1800598033924095, 4.392641147497285, 1.3673048963182144, -1.9514745152478754, 0.19066787214205103, 4.168930874249175, -1.8055705328208456, 1.441662392626417, -4.628498218707656, 2.6203148626112367, -4.199217127466647, 2.942775747929932, 3.405204240422839, -3.481217957485288, 0.35005694388063047]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Raspberry/232_100.jpg,Raspberry,"[-1.0260677777671299, 4.927137052043815, 1.7609413352170609, -10.01945407113162, -4.132728355534359, 2.460842238193804, -0.5794271841221865, 4.963337912569429, -4.382507159976105, 4.216326399103299, -7.100501144204519, -2.688420026063181, -1.1518373894245315, 6.498716092010586, -4.167860317146479]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Pineapple/224_100.jpg,Pineapple,"[-5.651972620044393, 6.457248110130584, -0.38914355711527227, -5.102305827288807, -4.099665548018075, 3.0944109853418102, -0.9097954994957664, 0.7955152846380874, -7.190301225256273, 5.2905347588596054, -8.067852728491351, 0.4309342283963305, 1.1873390449586694, -2.851991951075774, -6.602841209864815]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cucumber Ripe/r_157_100.jpg,Cucumber Ripe,"[1.2622994868455855, 4.89547045937566, -6.102648783632086, -10.952159045932186, 4.929901839948408, 7.973583980788276, -4.883242934403794, 5.246760932196638, -10.045664964139439, 0.31295328783211723, -5.6904387544977855, -1.3717306988058744, 0.8045800233489404, 4.692603359305264, -4.770274695242809]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/188_100.jpg,Cauliflower,"[-4.264068858404193, 1.5934265378874366, -0.07002288044392721, -2.8302699075597, -1.443179810050593, 3.4937664672054485, -0.959499711091105, 0.9623863081023014, -2.0091825869914346, 2.4509911446052546, -3.9140585979011613, 1.889332656096253, 2.0967959185602423, -2.542309462859253, 0.48582719951773495]"
s3a://p8-data-djamel/jupyter/hadoop/data/Test1/Cauliflower/45_100.jpg,Cauliflower,"[-4.928321000426622, 3.280872204146749, 0.6224726185394761, -1.40020696389153, -1.1336539501269254, 4.08314223815166, -1.0422033789655107, 0.13097020367111592, -4.1006628615108704, 3.124446083342737, -3.425808064992925, 2.1452508707604414, 3.3519635437437447, -3.5002732499310976, 0.8959964851625571]"
